A|неопределенный артикль
PRISONER|заключенный
PRISONERS|Заключенные
PRIVACY|уединенность
PRIVATE|частный
PRIVATELY|конфиденциально
PRIVILEGE|привилегия
PRIVILEGED|привилегированный
PRIZE|приз
PROBABILITY|вероятность
PROBABLE|вероятный (-e)
PROBABLY|вероятно (-y)
PROBLEM|проблема
PROBLEMS|проблемы (от problem)
PROCEDURE|процедура
PROCEDURES|Процедуры
PROCEED|продолжать
PROCEEDING|поступок, мероприятие, протоколы, записки
PROCEEDINGS|труды, записки
PROCESS|процесс
PROCESSES|Процессы
PROCESSION|процессия
PROCLAMATION|воззвание, прокламация
PROCURATOR|Поверенный
PROCURE|доставать, добывать
PROCURED|Обеспеченный (не provided, supplied)
PRODUCE|производить
PRODUCED|производил (от produce)
PRODUCER|режиссер
PRODUCES|Производит
PRODUCING|Создание -ing
PRODUCT|продукция
PRODUCTION|производство
PRODUCTIONS|Производство
PROFESSION|профессия
PROFESSIONAL|профессиональный
PROFESSOR|профессор
PROFIT|прибыль
PROFITABLE|прибыльный, выгодный, полезный
PROFOUND|глубокий
PROGRAM|программа
PROGRAMME|программа
PROGRAMMES|программы, передачи (от programme)
PROGRAMMING|программирование
PROGRAMS|программы (от program)
PROGRESS|прогресс, успех
PROHIBITED|запрещенный (от prohibit)
PROJECT|проект
PROJECTS|проекты (от project)
PROLONG|продлевать
PROMINENT|выдающийся
PROMISE|обещать
PROMISED|обещал (от promise)
PROMISING|многообещающий -ing
PROMOTION|поощрение
PROMPT|проворный, быстрый
PROMPTLY|быстро
PRONE|склонный
PRONOUNCE|произносить
PRONOUNCED|Явный
PRONUNCIATION|произношение
PROOF|доказательство
PROP|подпорка, опора, подпирать
PROPER|правильный
PROPERLY|правильно, должным образом
PROPERTY|собственность, имущество
PROPHET|пророк
PROPORTION|пропорция
PROPOSAL|предложение
PROPOSE|предлагать (не suggest)
PROPOSED|Предложенный
PROPOSITION|предложение
PROSPECT|перспектива
PROSPECTS|Перспективы
PROSPER|процветать
PROSPERITY|процветание, благосостояние
PROSPEROUS|преуспевающий
PROTECT|защищать, предохранять
PROTECTED|Защищенный
PROTECTION|защита
PROTECTIVE|защитный
PROTEST|протестовать, протест
PROTOCOL|Протокол
PROUD|гордый
PROUDLY|гордо
PROVE|доказывать, доказать
PROVED|Доказанный
PROVIDE|обеспечивать
PROVIDED|при условии
PROVIDENCE|провидение
PROVISION|заготовка
PROVISIONS|Условия (не conditions)
PROVOCATIVE|вызывающий, провокационный
PROVOKE|вызывать, провоцировать
PRUDENT|осторожный, благоразумный (не careful)
PRY|любопытный человек
PSYCHOLOGY|психология
PUB|трактир, гостиница
PUBLIC|общественный (не social)
PUBLICATION|публикация
PUBLICITY|гласность
PUBLICLY|публично
PUBLISH|публиковать
PUBLISHED|публиковал, опубликованный (от publish)
PUDDING|пудинг
PUDDLE|лужица, смущать, барахтаться в воде
PUFF|дымок, дуновение (ветра); дымить, попыхивать p-
PUG|мопс, моська, курносый нос
PULL|тянуть, тащить
PULLOVER|пуловер
PULP|мякоть, бумажная масса
PULSE|пульс, пульсировать
PUMP|насос
PUMPKIN|тыква
PUN|каламбур
PUNCH|пробивать (отверстия), ударять кулаком, удар кулаком, пунш
PUNCTUAL|пунктуальный, аккуратный
PUNISH|наказывать, наказать
PUNISHMENT|наказание
PUPIL|ученик
PURCHASE|покупка, покупать
PURCHASER|покупатель
PURE|чистый
PURGE|чистка (не clean)
PURPLE|лиловый, малиновый
PURPOSE|цель
PURPOSES|Цели
PURSE|кошелек
PURSUE|преследование
PURSUED|Преследуемый
PURSUING|Преследование -ing
PURSUIT|преследование, погоня, занятие
PUSH|толкать
PUSHED|вытолкнутый 
PUSHING|Подталкивание(выдвижение) -ing
PUT|класть, размещать
PUZZLE|приводить в затруднение, загадка
PUZZLED|озадачен, поставлен в тупик (от puzzle)
PYJAMAS|пижама
PYRAMID|пирамида
QUALIFY|квалифицировать
QUALITIES|Качества
QUALITY|качество
QUANTITY|количество
QUARREL|ссора, ссориться
QUARTER|четверть, квартал
QUARX‡|d‡z ноломня, карьер
QUAY|набережная
QUEEN|королева
QUEER|странный, эксцентричный
QUENCH|утолять (жажду)
QUERY|вопрос, спрашивать
QUEST|поиски
QUESTION|вопрос
QUESTIONABLE|сомнительный
QUESTIONS|вопросы (от question)
QUICK|быстрый
QUICKER|быстрее (от quick)
QUICKLY|быстро
QUIET|тихий, спокойный
QUIETLY|тихо, спокойно
QUILL|катушка q-
QUIT|прекращать
QUITE|вполне, совсем
QUIVER|дрожать, трепетать; дрожь; трепет
QUIVERING|дрожащий -ing (не от слов tremble, shiver)
QUIZ|опрос, проверять знания
QUOTATION|цитата
QUOTE|цитировать
QUOTED|Указанный
RABBIT|кролик
RABBITS|Кролики
RACE|раса, гонка
RACES|Гонки(расы)
RACING|гоночный (-ing)
RACK|полка для багажа над сиденьем
RACKET|ракетка
RADIANT|лучистый, сияющий, лучезарный
RADIATOR|радиатор
RADIO|радио
RADIOACTIVE|радиоактивный
RAFT|плот 
RAG|тряпка, лохмотья
RAGE|гнев, ярость (не fury)
RAGGED|истрепанный, оборванный, рваный r-
RAID|нападение
RAIL|рельс
RAILING|ограда, перила -ing
RAILROAD|железная дорога
RAILWAY|железная дорога
RAIN|дождь
RAINBOW|радуга
RAINCOAT|плащ
RAINY|дождливый
RAISE|поднимать, возвышать
RAISED|рельефный
RAISING|воспитание
RAKE|грабли, сгребать
RALPH|Ральф
RAM|баран
RAN|бежал, убежавший (от run)
RANCH|ранчо
RANDOM|случайный, беспорядочный
RANG|звонил 
RANGE|ряд, линия, диапазон
RANGER|скиталец
RANK|ряд, чин, выстраивать
RANSOM|выкуп, выкупать
RAPID|быстрый r-
RAPIDLY|быстро
RAPT|восхищенный, похищенный
RAPTURE|восторг, восхищение (не delight)
RARE|редкий, недожаренный
RARELY|редко
RASH|стремительный, поспешный, опрометчивый; сыпь
RASPBERRY|малина
RAT|крыса
RATE|тариф, расценка, степень, оценивать
RATES|стоит (от rate)
RATHER|скорее, лучше
RATIONAL|рациональный
RATTLE|трещать, греметь, грохотать; треск, грохот, погремушка, трещотка
RAW|сырой
RAY|луч
RAYMOND|Раймонд
RAZOR|бритва
REACH|достигать
REACT|реагировать
REACTION|реакция
READ|читать
READER|читатель
READILY|охотно r-
READINESS|находчивость
READING|чтение
READY|готовый
REAL|реальный, настоящий
REALISTIC|реалистический
REALITY|действительность
REALIZE|представлять себе, реализовать
REALLY|на самом деле, действительно r-
REALM|Царство
REAR|задняя часть
REARED|Воздвигнутый
REASON|причина, довод, разум, рассудок
REASONABLE|разумный r-
REASONABLY|разумно
REASONING|Рассуждение -ing
REASSURE|заверять
REBELLION|восстание, бунт
REBELLIOUS|мятежный, бунтарский
REBUFF|неудача, отпор
RECALL|припомнить, отозвать
RECALLED|Отозванный
RECEIPT|квитанция
RECEIVE|получать
RECEIVER|приемник
RECEIVING|Получение -ing
RECENT|недавний
RECENTLY|недавно
RECEPTION|прием
RECIPE|рецепт
RECITE|рассказывать, перечислять
RECKLESS|отчаянный, безрассудный, опрометчивый
